"Settings","Impostazioni"
"Enabled for Administrator","Abilitato per l'amministratore"
"Enabled for Customers","Abilitato per i clienti"
"Code name","Nome codice"
"Secret length","Lunghezza codice secret"
"Recovery email template","Template email di recupero"
"Validate authentication code","Valida codice di autenticazione"
"Check your code","Verifica il tuo codice"
"Insert your code","Inserisci il tuo codice"
"Validate","Valida"
"Two-Factor Authentication","Autenticazione a due fattori"
"Enabled","Abilitato"
"QR Code","QR Code"
"Scan this code with your 'Authenticator' app","Scansiona questo codice con la tua app 'Authenticator'"
"Security option: min 16, max 128","Opzione di sicurezza: min 16, max 128"
"Mange your two factor authentication","Gestisci la tua autenticazione a due fattori"
"Two factor authentication enabled","Autenticazione a due fattori abilitata"
"Scan this code with your 'Authenticator' app for enable code in your device","Scansiona questo codice con la tua app 'Authenticator' per abilitare il codice di autenticazione temporale"
"Save","Salva"
"Verify your code","Verifica il tuo codice"
"Code","Codice"
"Insert 'Authenticator' app code","Inserisci il codice della tua app 'Authenticator'"
"Two factor authentication disabled.","Autenticazione a due fattori disabilitata."
"Two factor authentication enabled.","Autenticazione a due fattori attivata."
"Valid code","Codice valido"
"Invalid code","Codice invalido"
"Yes","Si"
"Enable this option to scan QR code to start two factor authentication.","Abilita questa opzione per visualizzare il codice da scansionare con la tua app."
"Open your authentication app and insert your code here","Inserisci il codice di autenticazione che visualizzi nella tua app"
"Forgot your code? Recovery it now","Hai perso il tuo codice? Ripristinalo ora"
"Check your email address, and insert your recovery code.","Verifica il tuo indirizzo email e inserisci qui il tuo codice di ripristino."
"Tow-Factor Authentication","Autenticazione a due fattori"
"Insert your code:","Inserisci il tuo codice:"
"Authenticate","Autenticati"
"Welcome %s","Benvenuto %s"
